ID,Name,date,Mean,Low,High,AOR,AWS,ATM
119,¼ö¿ø,2019-12-04,2.6,-1.7,8.2,2.6,1.3,1024.6
119,¼ö¿ø,2019-12-05,-3.2,-7.9,1.3,,3.1,1031.5
119,¼ö¿ø,2019-12-06,-5.6,-10.8,-0.4,,1.4,1031.4
119,¼ö¿ø,2019-12-07,-1.7,-6.3,2.9,0,1.1,1025.1
119,¼ö¿ø,2019-12-08,-1.2,-6.8,5.2,,0.9,1024
119,¼ö¿ø,2019-12-09,3.4,-2.8,8.4,,1.8,1018.6
119,¼ö¿ø,2019-12-10,7.2,2.4,11.6,1.6,1,1014.5
119,¼ö¿ø,2019-12-11,6,0.9,9.5,0.7,3.4,1013.4
119,¼ö¿ø,2019-12-12,-0.4,-3.2,4,,2.1,1024.2
119,¼ö¿ø,2019-12-13,1.7,-4.7,6.2,0.9,1.5,1022.1
119,¼ö¿ø,2019-12-14,2.5,0.1,6.4,2,1.8,1023.3
119,¼ö¿ø,2019-12-15,4.9,-2,11.8,,1.2,1024.1
119,¼ö¿ø,2019-12-16,8.2,-0.2,14.3,0,1,1018
119,¼ö¿ø,2019-12-17,7.7,4,10.5,6.2,2.1,1011.5
119,¼ö¿ø,2019-12-18,1,-1.3,4.9,,1.9,1019.4
119,¼ö¿ø,2019-12-19,-0.3,-3.3,4,,1.7,1021.5
119,¼ö¿ø,2019-12-20,-1.1,-4.3,3.1,0,1.8,1024.8
119,¼ö¿ø,2019-12-21,-1.1,-5.9,3.3,0.3,0.9,1022.7
119,¼ö¿ø,2019-12-22,3.9,-0.4,8.5,0,1.1,1016.1
119,¼ö¿ø,2019-12-23,3.2,-0.5,5.2,3.7,1.6,1017.6
119,¼ö¿ø,2019-12-24,0.6,-3.8,6.8,,0.9,1022.6
119,¼ö¿ø,2019-12-25,1.3,-4.4,7.3,,0.7,1019
119,¼ö¿ø,2019-12-26,2,-1.5,3.7,1.8,2.2,1013.2
119,¼ö¿ø,2019-12-27,-1.1,-4.9,2.9,,1.7,1020.4
119,¼ö¿ø,2019-12-28,0.6,-4.3,6.1,,1.4,1023.9
119,¼ö¿ø,2019-12-29,3.2,-1.3,6.2,0.6,2.1,1020.9
119,¼ö¿ø,2019-12-30,3.1,-4.2,7,0.5,2.6,1019.3
119,¼ö¿ø,2019-12-31,-6.9,-9.7,-3.7,0,3.1,1029.9
119,¼ö¿ø,2020-01-01,-2.2,-6.3,0.3,0,1.2,1027.5
119,¼ö¿ø,2020-01-02,1.3,-0.3,3.2,,0.7,1024.9
119,¼ö¿ø,2020-01-03,-0.1,-3.9,5.2,,1.3,1022.6
119,¼ö¿ø,2020-01-04,1.3,-4.9,7.6,,1.3,1021.5
119,¼ö¿ø,2020-01-05,0.1,-5.9,6.3,,0.9,1025.8
119,¼ö¿ø,2020-01-06,3.5,-1.8,4.9,3.9,2.1,1021
119,¼ö¿ø,2020-01-07,7.7,4.9,12.2,50.8,2,1004.8
119,¼ö¿ø,2020-01-08,2.9,0.1,11.7,4.4,4.1,1010.1
119,¼ö¿ø,2020-01-09,-0.3,-3.1,3.1,,2.1,1019.6
119,¼ö¿ø,2020-01-10,-0.7,-4.6,4.5,,1,1019.1
119,¼ö¿ø,2020-01-11,-0.2,-3.8,4.5,,1.4,1015.6
